"id,location,num_lanes,is_oneway"
"4272,SILVERDALE CRES AT VALENTINE DR & YORK MILLS RD (PX 978)"
"4275,BAYVIEW AVE AT SUTHERLAND DR"
"4276,BAYVIEW AVE AT MILLWOOD RD (PX 171)"
"4277,# 1929 BAYVIEW AVE AT BAYVIEW AVE"
"4278,BAYVIEW AVE AT BLYTHWOOD RD & SUNNYBROOK HOSPITAL (PX 200)"
"4280,# 2365 BAYVIEW AVE AT CRESCENT SCHOOL (PX 1766)"
"4281,BAYVIEW AVE AT YORK MILLS RD (PX 644)"
"4282,BAYVIEW AVE AT SHEPPARD AVE (PX 648)"
"4283,BAYVIEW AVE AT RUDDINGTON DR (PX 653)"
"4284,BAYVIEW AVE AT CUMMER AVE (PX 651)"
"4285,BAYVIEW AVE AT STEELES AVE (PX 652)"
"4286,BROWNS LINE AT LAKE SHORE BLVD (PX 242)"
"4287,MORNINGSIDE AVE AT TEFFT RD (PX 1739)"
"4288,ELLESMERE RD AT MORNINGSIDE AVE (PX 719)"
"4289,MORNINGSIDE AVE AT OLD FINCH AVE & FINCH AVE (PX 1787)"
"4290,MANHATTAN DR AT WARDEN AVE (PX 914)"
"4291,CAMBRIDGE AVE AT PRETORIA AVE"
"4293,BROADVIEW AVE AT HILLSIDE DR (PX 1812)"
"4295,HIGHWAY 401 AT MARTIN GROVE RD"
"4296,MARTIN GROVE RD AT NOTTINGHILL GT & WINTERTON DR (PX 1785)"
"4297,MARTIN GROVE RD AT REDGRAVE AVE & THE WESTWAY (PX 787)"
"4298,MARTIN GROVE RD AT SILVERSTONE DR (PX 1519)"
"4299,CONSUMERS RD AT PARKWAY PL & 90M S OF YORKLAND (PX 1280)"
"4300,BOOTH AVE AT LANEWAY N OF LAKE SHORE BLVD"
"4301,LN N OF LAKE SHORE BLVD AT LOGAN AVE"
"4302,CARLAW AVE AT LANEWAY 75M N OF LAKE SHORE BLVD E"
"4303,LAIRD DR AT VANDERHOOF AVE"
"4305,GATEFORTH DR AT SHEPPARD AVE (PX 1789)"
"4306,GRAND MARSHALL DR AT SHEPPARD AVE & WATER TOWER GT (PX 1786)"
"4307,SHEPPARD AVE AT VANDORF ST"
"4308,NEILSON RD AT SHEPPARD AVE E (PX 1222)"
"4309,DEAN PARK RD AT ROUGE RIVER DR & SHEPPARD AVE (PX 1989)"
"4310,SHEPPARD AVE E AT BRIAN DR & CONSUMERS RD (PX 906)"
"4312,ARROW RD AT SHEPPARD AVE (PX 861)"
"4313,# 2020 SHEPPARD AVE AT SHEPPARD AVE"
"4314,BRENTWOOD AVE AT EASTON RD & SHEPPARD AVE (PX 1662)"
"4315,DONLANDS AVE AT SAMMON AVE (PX 659)"
"4316,COSBURN AVE AT DONLANDS AVE (PX 668)"
"4317,ALBION RD AT KIPLING AVE (PX 734)"
"4318,KIPLING AVE AT RACINE RD"
"4319,KIPLING AVE AT TORLAKE CRES (PX 946)"
"4320,KIPLING AVE AT THE QUEENSWAY (PX 568)"
"4321,KIPLING AVE AT OLIVEWOOD RD (PX 1323)"
"4322,BLOOR ST AT KIPLING AVE (PX 1321)"
"4323,KIPLING AVE AT RATHBURN RD (PX 727)"
"4324,KIPLING AVE AT PRINCESS MARGARET BLVD (PX 728)"
"4326,KIPLING AVE AT THE WESTWAY (PX 730)"
"4327,KIPLING AVE AT STEVENSON RD"
"4328,LESLIE ST AT MOSLEY ST"
"4329,COLDWATER RD AT FARMSTEAD RD & LESLIE ST (PX 2112)"
"4332,LESLIE ST AT TANGLE BRIARWAY & VAN HORNE AVE (PX 1012)"
"4333,CASTLEBURY CR AT CLANSMAN BLVD & LESLIE ST (PX 1050)"
"4334,HIGHWAY 401 E/B OFF/ON RAMP AT MEADOWVALE RD (PX 1695)"
"4335,MEADOWVALE RD AT SHEPPARD AVE E (PX 1220)"
"4336,MEADOWVALE RD AT ZOO RD & NORTH ACCESS (PX 1798)"
"4337,DON MILLS RD AT O CONNOR DR (PX 444)"
"4339,DON MILLS RD AT EGLINTON AVE (PX 454)"
"4340,CHIPPING RD AT DON MILLS RD (PX 1045)"
"4342,DON MILLS RD AT MALLARD RD (PX 1044)"
"4343,DON MILLS RD AT YORK MILLS RD (PX 626)"
"4344,DON MILLS RD AT SHEPPARD AVE (PX 627)"
"4345,CLIFFWOOD NORTH RD AT DON MILLS RD (PX 1107)"
