location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4153,LAWRENCE AVE AT MARKHAM RD (PX 420),-79.2253,43.75982,2,13448547,420,31029,########
4154,MARKHAM RD AT PROGRESS AVE & PROGRESS CRT (PX 878),-79.2339,43.78175,2,13445553,878,30909,4/5/2014
4155,MARKHAM RD AT SHEPPARD AVE (PX 701),-79.2388,43.79387,2,13444062,701,39519,########
4156,FINCH AVE AT MARKHAM RD (PX 1257),-79.2431,43.81297,2,13442251,1257,35303,########
4157,MARKHAM RD AT NASHDENE RD (PX 1620),-79.2462,43.82024,2,13441912,1620,28395,########
4158,MARKHAM RD AT STEELES AVE (PX 1583),-79.2512,43.8366,2,13441620,1583,33057,########
4159,KING ST AT PORTLAND ST (PX 1225),-79.4001,43.64445,2,13467654,1225,36427,########
4160,AUGUSTA AVE AT QUEEN ST (PX 552),-79.3997,43.64807,2,13467096,552,38163,########
4161,LAKE SHORE BLVD AT LOWER SPADINA AVE & SPADINA AVE (PX 215),-79.3922,43.63845,2,13468377,215,29267,########
4162,FRONT ST AT SPADINA AVE (PX 272),-79.3939,43.64274,2,13467856,272,34481,########
4163,ADELAIDE ST AT SPADINA AVE (PX 274),-79.3956,43.64674,2,13467308,274,38683,4/9/2019
4164,CAMDEN ST AT SPADINA AVE,-79.3958,43.6474,2,13467197,,7118,3/4/1998
4165,RICHMOND ST AT SPADINA AVE (PX 275),-79.396,43.64781,2,13467124,275,34461,########
4166,SPADINA AVE AT SULLIVAN ST (PX 1335),-79.3972,43.6509,2,13466618,1335,29103,########
4167,DUNDAS ST AT SPADINA AVE (PX 277),-79.398,43.65294,2,13466288,277,32141,########
4168,SPADINA AVE AT ST ANDREWS ST (PX 1146),-79.3986,43.6544,2,13466069,1146,29217,########
4169,NASSAU ST AT SPADINA AVE (PX 278),-79.3992,43.65585,2,13465836,278,29117,########
4170,COLLEGE ST AT SPADINA AVE (PX 279),-79.4,43.65795,2,13465489,279,35171,########
4171,RUSSELL ST AT SPADINA CRES (EAST LEG),-79.3999,43.6598,2,13465201,2117,17763,########
4172,SPADINA AVE AT WILLCOCKS ST (PX 1761),-79.4014,43.6613,2,13464960,1761,25159,########
4173,HARBORD ST AT SPADINA AVE (PX 280),-79.4021,43.66305,2,13464674,280,28459,2/7/2012
4174,SPADINA AVE AT SUSSEX AVE (PX 1760),-79.4027,43.66466,2,13464417,1760,28107,########
4175,BLOOR ST AT SPADINA AVE & SPADINA RD (PX 281),-79.4039,43.66666,2,13464094,281,38279,########
